date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots,class
august, normal,gt-norm,norm,no,same-lst-yr, scattered,pot-severe, none,lt-80%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm, yes,above-sec-nde,brown,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
september, normal,gt-norm,norm, yes,same-lst-sev-yrs,low-areas,pot-severe,fungicide,lt-80%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm,no,above-sec-nde, dna,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
july, normal,gt-norm,norm, yes,same-lst-two-yrs, scattered,severe,fungicide,80-89%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm, yes,above-sec-nde, dna,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
october, normal,gt-norm,norm, yes,same-lst-yr,low-areas,pot-severe, none, 90-100%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm,no,above-sec-nde,brown,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
august, normal,gt-norm,norm, yes,same-lst-sev-yrs, scattered,severe, none,lt-80%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm, yes,above-sec-nde,brown,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
september, normal,gt-norm,norm, yes,same-lst-two-yrs, scattered,pot-severe,fungicide, 90-100%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm,no,above-sec-nde,brown,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
july, normal,gt-norm,norm, yes,same-lst-two-yrs,low-areas,pot-severe, none,80-89%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm,no,above-sec-nde, dna,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
july, normal,gt-norm,norm, yes,same-lst-yr, scattered,severe,fungicide,lt-80%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm, yes,above-sec-nde, dna,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
october, normal,gt-norm,norm, yes,same-lst-sev-yrs, scattered,pot-severe,fungicide,80-89%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm, yes,above-sec-nde,brown,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
october, normal,gt-norm,norm, yes,same-lst-yr, scattered,pot-severe, none,lt-80%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm, yes,above-sec-nde,brown,present,firm-and-dry, absent, none, absent, norm,dna, norm, absent, absent, norm, absent, norm,diaporthe-stem-canker
october, normal, lt-norm,gt-norm,no, diff-lst-year,upper-areas,pot-severe, none, 90-100%,abnorm,abnorm., absent,dna,dna, absent, absent, absent,abnorm,no, absent,tan, absent, absent, absent,black,present, norm,dna, norm, absent, absent, norm, absent, norm,charcoal-rot
